	ggal_miRb21_bbmap_1	ggal_miRb21_bbmap_10	ggal_miRb21_bbmap_11	ggal_miRb21_bbmap_12	ggal_miRb21_bbmap_2	ggal_miRb21_bbmap_3	ggal_miRb21_bbmap_4	ggal_miRb21_bbmap_5	ggal_miRb21_bbmap_6	ggal_miRb21_bbmap_7	ggal_miRb21_bbmap_8	ggal_miRb21_bbmap_9
gga-miR-1769	0	0	6	10	0	6	6	7	0	0	0	1
gga-miR-1607	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-489	17	1	19	16	10	10	7	12	13	6	1	8
gga-miR-7475	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-144	154	63	166	342	304	230	148	167	156	84	244	119
gga-miR-1632	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6600	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1460	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-29c	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7442	1	0	0	0	2	0	0	0	0	0	0	0
gga-miR-449b	1	2	28	8	8	2	2	4	2	4	2	20
gga-miR-302d	0	0	0	1	0	0	0	0	0	0	0	0
gga-miR-190a	41	7	42	17	54	60	42	39	13	36	38	37
gga-miR-1753	0	0	0	0	1	0	0	0	0	0	0	0
gga-miR-216b	4	3	31	35	3	15	35	10	7	11	5	14
gga-miR-30a	10002	6129	13323	9924	16137	13384	10143	11237	5965	5234	12125	8267
gga-miR-6563	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1653	0	0	0	2	0	0	1	0	1	0	0	0
gga-miR-1779	0	0	0	0	1	1	3	0	0	0	0	3
gga-miR-6582	6	7	4	25	11	13	5	7	1	3	7	4
gga-let-7g	26355	3771	14140	14996	28608	21080	15914	16720	8628	5365	10360	15128
gga-miR-6707	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6649	0	0	2	2	0	3	0	0	0	0	1	0
gga-miR-1416	3	0	1	6	2	0	0	6	1	1	2	0
gga-miR-1783	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1676	0	0	0	0	0	0	0	0	0	0	1	0
gga-let-7i	14932	1610	4790	4873	10873	9492	6557	6176	3798	2379	6159	4902
gga-miR-30e	16	7	31	20	34	18	22	26	10	7	8	23
gga-miR-1601	0	0	0	0	0	1	0	0	0	0	0	0
gga-miR-1710	0	0	0	1	5	1	1	3	0	0	1	4
gga-miR-1764	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6617	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1774	2	0	0	0	0	0	0	1	0	0	1	0
gga-miR-6689	0	0	0	2	1	5	2	0	0	0	1	0
gga-miR-200b	25	9	20	6	13	18	12	15	82	8	48	93
gga-miR-6677	0	0	0	2	0	0	1	0	0	0	0	0
gga-miR-27b	4233	695	1542	2487	3624	3210	2127	1585	1284	779	1814	1325
gga-miR-1674	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-153	0	0	0	0	1	0	0	0	0	0	0	0
gga-miR-1738	0	0	1	1	0	0	2	0	0	1	0	2
gga-miR-1621	0	0	0	0	0	0	0	0	0	0	0	1
